cas,temperatura,vlaznost
15.02.2016 0:00,3.0,84
15.02.2016 1:00,3.0,86
15.02.2016 2:00,3.0,86
15.02.2016 3:00,3.0,85
15.02.2016 4:00,3.0,84
15.02.2016 5:00,3.0,85
15.02.2016 6:00,3.0,87
15.02.2016 7:00,3.0,89
15.02.2016 8:00,3.0,90
15.02.2016 9:00,3.0,89
15.02.2016 10:00,3.0,87
15.02.2016 11:00,4.0,83
15.02.2016 12:00,6.0,81
15.02.2016 13:00,6.0,80
15.02.2016 14:00,6.0,80
15.02.2016 15:00,6.0,80
15.02.2016 16:00,6.0,79
15.02.2016 17:00,5.0,83
15.02.2016 18:00,4.0,86
15.02.2016 19:00,4.0,85
15.02.2016 20:00,4.0,84
15.02.2016 21:00,4.0,84
15.02.2016 22:00,4.0,82
15.02.2016 23:00,3.0,82
16.02.2016 0:00,3.0,86
16.02.2016 1:00,3.0,87
16.02.2016 2:00,3.0,86
16.02.2016 3:00,3.0,84
16.02.2016 4:00,3.0,81
16.02.2016 5:00,3.0,79
16.02.2016 6:00,3.0,83
16.02.2016 7:00,2.0,84
16.02.2016 8:00,2.0,85
16.02.2016 9:00,2.0,87
16.02.2016 10:00,2.0,84
16.02.2016 11:00,3.0,82
16.02.2016 12:00,3.0,79
16.02.2016 13:00,4.0,78
16.02.2016 14:00,4.0,77
16.02.2016 15:00,4.0,77
16.02.2016 16:00,5.0,76
16.02.2016 17:00,4.0,80
16.02.2016 18:00,4.0,83
16.02.2016 19:00,3.0,82
16.02.2016 20:00,3.0,81
16.02.2016 21:00,3.0,81
16.02.2016 22:00,3.0,82
16.02.2016 23:00,3.0,82
17.02.2016 0:00,3.0,88
17.02.2016 1:00,3.0,89
17.02.2016 2:00,3.0,89
17.02.2016 3:00,3.0,91
17.02.2016 4:00,2.0,90
17.02.2016 5:00,2.0,89
17.02.2016 6:00,2.0,90
17.02.2016 7:00,2.0,89
17.02.2016 8:00,2.0,87
17.02.2016 9:00,2.0,89
17.02.2016 10:00,3.0,87
17.02.2016 11:00,4.0,80
17.02.2016 12:00,5.0,78
17.02.2016 13:00,5.0,76
17.02.2016 14:00,5.0,77
17.02.2016 15:00,6.0,78
17.02.2016 16:00,6.0,79
17.02.2016 17:00,4.0,83
17.02.2016 18:00,4.0,86
17.02.2016 19:00,4.0,86
17.02.2016 20:00,4.0,87
17.02.2016 21:00,4.0,86
17.02.2016 22:00,4.0,86
17.02.2016 23:00,3.0,87
18.02.2016 0:00,2.0,89
18.02.2016 1:00,1.0,91
18.02.2016 2:00,1.0,91
18.02.2016 3:00,1.0,91
18.02.2016 4:00,1.0,89
18.02.2016 5:00,0.0,90
18.02.2016 6:00,-1.0,89
18.02.2016 7:00,-1.0,89
18.02.2016 8:00,-1.0,90
18.02.2016 9:00,0.0,90
18.02.2016 10:00,1.0,86
18.02.2016 11:00,2.0,80
18.02.2016 12:00,3.0,77
18.02.2016 13:00,3.0,74
18.02.2016 14:00,4.0,74
18.02.2016 15:00,4.0,76
18.02.2016 16:00,4.0,77
18.02.2016 17:00,3.0,81
18.02.2016 18:00,3.0,82
18.02.2016 19:00,3.0,80
18.02.2016 20:00,2.0,82
18.02.2016 21:00,2.0,82
18.02.2016 22:00,2.0,83
18.02.2016 23:00,2.0,83
19.02.2016 0:00,0.0,75
19.02.2016 1:00,-1.0,74
19.02.2016 2:00,-1.0,74
19.02.2016 3:00,-1.0,72
19.02.2016 4:00,-1.0,71
19.02.2016 5:00,-1.0,74
19.02.2016 6:00,-2.0,79
19.02.2016 7:00,-1.0,87
19.02.2016 8:00,-1.0,91
19.02.2016 9:00,0.0,87
19.02.2016 10:00,1.0,81
19.02.2016 11:00,3.0,75
19.02.2016 12:00,4.0,70
19.02.2016 13:00,5.0,67
19.02.2016 14:00,6.0,69
19.02.2016 15:00,6.0,71
19.02.2016 16:00,5.0,73
19.02.2016 17:00,4.0,78
19.02.2016 18:00,3.0,83
19.02.2016 19:00,2.0,83
19.02.2016 20:00,2.0,82
19.02.2016 21:00,2.0,84
19.02.2016 22:00,2.0,82
19.02.2016 23:00,1.0,81
20.02.2016 0:00,-1.0,76
20.02.2016 1:00,-1.0,75
20.02.2016 2:00,-2.0,74
20.02.2016 3:00,-1.0,71
20.02.2016 4:00,-1.0,69
20.02.2016 5:00,-1.0,70
20.02.2016 6:00,-2.0,73
20.02.2016 7:00,-2.0,75
20.02.2016 8:00,-1.0,75
20.02.2016 9:00,0.0,78
20.02.2016 10:00,2.0,76
20.02.2016 11:00,3.0,73
20.02.2016 12:00,5.0,69
20.02.2016 13:00,6.0,66
20.02.2016 14:00,6.0,67
20.02.2016 15:00,6.0,71
20.02.2016 16:00,6.0,73
20.02.2016 17:00,4.0,78
20.02.2016 18:00,3.0,81
20.02.2016 19:00,2.0,80
20.02.2016 20:00,2.0,83
20.02.2016 21:00,2.0,83
20.02.2016 22:00,2.0,81
20.02.2016 23:00,2.0,82
21.02.2016 0:00,-2.0,70
21.02.2016 1:00,-2.0,68
21.02.2016 2:00,-2.0,69
21.02.2016 3:00,-1.0,68
21.02.2016 4:00,-1.0,66
21.02.2016 5:00,-1.0,66
21.02.2016 6:00,-1.0,69
21.02.2016 7:00,-1.0,69
21.02.2016 8:00,0.0,70
21.02.2016 9:00,1.0,77
21.02.2016 10:00,2.0,76
21.02.2016 11:00,4.0,75
21.02.2016 12:00,6.0,74
21.02.2016 13:00,7.0,68
21.02.2016 14:00,7.0,67
21.02.2016 15:00,7.0,70
21.02.2016 16:00,6.0,69
21.02.2016 17:00,5.0,74
21.02.2016 18:00,4.0,78
21.02.2016 19:00,3.0,78
21.02.2016 20:00,3.0,81
21.02.2016 21:00,3.0,81
21.02.2016 22:00,2.0,80
21.02.2016 23:00,2.0,79
22.02.2016 0:00,2.0,84
22.02.2016 1:00,2.0,85
22.02.2016 2:00,2.0,85
22.02.2016 3:00,2.0,85
22.02.2016 4:00,2.0,84
22.02.2016 5:00,2.0,84
22.02.2016 6:00,3.0,83
22.02.2016 7:00,3.0,85
22.02.2016 8:00,3.0,84
22.02.2016 9:00,3.0,85
22.02.2016 10:00,3.0,84
22.02.2016 11:00,4.0,80
22.02.2016 12:00,6.0,80
22.02.2016 13:00,6.0,78
22.02.2016 14:00,6.0,79
22.02.2016 15:00,6.0,81
22.02.2016 16:00,5.0,82
22.02.2016 17:00,4.0,85
22.02.2016 18:00,4.0,88
22.02.2016 19:00,3.0,87
22.02.2016 20:00,3.0,87
22.02.2016 21:00,3.0,87
22.02.2016 22:00,3.0,86
22.02.2016 23:00,3.0,86
23.02.2016 0:00,2.0,75
23.02.2016 1:00,2.0,75
23.02.2016 2:00,2.0,76
23.02.2016 3:00,2.0,74
23.02.2016 4:00,3.0,71
23.02.2016 5:00,3.0,72
23.02.2016 6:00,2.0,75
23.02.2016 7:00,2.0,76
23.02.2016 8:00,2.0,76
23.02.2016 9:00,2.0,80
23.02.2016 10:00,2.0,79
23.02.2016 11:00,3.0,78
23.02.2016 12:00,3.0,78
23.02.2016 13:00,3.0,76
23.02.2016 14:00,3.0,78
23.02.2016 15:00,4.0,78
23.02.2016 16:00,4.0,79
23.02.2016 17:00,2.0,80
23.02.2016 18:00,1.0,82
23.02.2016 19:00,1.0,77
23.02.2016 20:00,0.0,76
23.02.2016 21:00,-1.0,81
23.02.2016 22:00,-2.0,74
23.02.2016 23:00,-2.0,75
24.02.2016 0:00,-1.0,66
24.02.2016 1:00,-1.0,68
24.02.2016 2:00,-1.0,69
24.02.2016 3:00,-1.0,70
24.02.2016 4:00,-2.0,70
24.02.2016 5:00,-2.0,70
24.02.2016 6:00,-2.0,71
24.02.2016 7:00,-2.0,70
24.02.2016 8:00,-2.0,72
24.02.2016 9:00,-1.0,70
24.02.2016 10:00,1.0,66
24.02.2016 11:00,3.0,61
24.02.2016 12:00,4.0,53
24.02.2016 13:00,4.0,52
24.02.2016 14:00,5.0,53
24.02.2016 15:00,4.0,54
24.02.2016 16:00,4.0,58
24.02.2016 17:00,3.0,63
24.02.2016 18:00,1.0,69
24.02.2016 19:00,1.0,71
24.02.2016 20:00,0.0,72
24.02.2016 21:00,-1.0,76
24.02.2016 22:00,-1.0,79
24.02.2016 23:00,-1.0,84
