cas,temperatura,vlaznost
11.02.2016 0:00,-2.0,74
11.02.2016 1:00,-3.0,73
11.02.2016 2:00,-3.0,74
11.02.2016 3:00,-3.0,73
11.02.2016 4:00,-3.0,73
11.02.2016 5:00,-4.0,72
11.02.2016 6:00,-4.0,74
11.02.2016 7:00,-4.0,73
11.02.2016 8:00,-4.0,76
11.02.2016 9:00,-2.0,78
11.02.2016 10:00,0.0,73
11.02.2016 11:00,3.0,63
11.02.2016 12:00,4.0,56
11.02.2016 13:00,5.0,51
11.02.2016 14:00,6.0,54
11.02.2016 15:00,6.0,55
11.02.2016 16:00,5.0,59
11.02.2016 17:00,3.0,65
11.02.2016 18:00,2.0,72
11.02.2016 19:00,1.0,71
11.02.2016 20:00,1.0,74
11.02.2016 21:00,1.0,76
11.02.2016 22:00,0.0,76
11.02.2016 23:00,-1.0,79
12.02.2016 0:00,-3.0,80
12.02.2016 1:00,-3.0,83
12.02.2016 2:00,-3.0,84
12.02.2016 3:00,-3.0,87
12.02.2016 4:00,-3.0,87
12.02.2016 5:00,-3.0,86
12.02.2016 6:00,-3.0,85
12.02.2016 7:00,-3.0,85
12.02.2016 8:00,-3.0,83
12.02.2016 9:00,-2.0,78
12.02.2016 10:00,-1.0,71
12.02.2016 11:00,2.0,66
12.02.2016 12:00,3.0,63
12.02.2016 13:00,4.0,59
12.02.2016 14:00,4.0,60
12.02.2016 15:00,4.0,64
12.02.2016 16:00,4.0,67
12.02.2016 17:00,2.0,75
12.02.2016 18:00,1.0,83
12.02.2016 19:00,0.0,83
12.02.2016 20:00,-1.0,81
12.02.2016 21:00,-1.0,76
12.02.2016 22:00,-1.0,76
12.02.2016 23:00,-1.0,73
13.02.2016 0:00,2.0,80
13.02.2016 1:00,2.0,81
13.02.2016 2:00,1.0,82
13.02.2016 3:00,1.0,82
13.02.2016 4:00,1.0,83
13.02.2016 5:00,1.0,83
13.02.2016 6:00,1.0,85
13.02.2016 7:00,1.0,85
13.02.2016 8:00,1.0,84
13.02.2016 9:00,1.0,83
13.02.2016 10:00,2.0,80
13.02.2016 11:00,4.0,75
13.02.2016 12:00,6.0,69
13.02.2016 13:00,7.0,64
13.02.2016 14:00,7.0,66
13.02.2016 15:00,7.0,67
13.02.2016 16:00,6.0,70
13.02.2016 17:00,4.0,76
13.02.2016 18:00,4.0,82
13.02.2016 19:00,3.0,82
13.02.2016 20:00,3.0,83
13.02.2016 21:00,2.0,82
13.02.2016 22:00,2.0,80
13.02.2016 23:00,2.0,81
14.02.2016 0:00,1.0,83
14.02.2016 1:00,0.0,83
14.02.2016 2:00,0.0,83
14.02.2016 3:00,0.0,81
14.02.2016 4:00,-1.0,81
14.02.2016 5:00,-1.0,83
14.02.2016 6:00,-1.0,86
14.02.2016 7:00,-1.0,85
