cas,temperatura,vlaznost
10.02.2016 1:00,6.0,89
10.02.2016 2:00,6.0,89
10.02.2016 3:00,6.0,87
10.02.2016 4:00,5.0,88
10.02.2016 5:00,4.0,87
10.02.2016 6:00,3.0,85
10.02.2016 7:00,2.0,83
10.02.2016 8:00,1.0,83
10.02.2016 9:00,1.0,83
10.02.2016 10:00,0.0,83
10.02.2016 11:00,2.0,79
10.02.2016 12:00,3.0,71
10.02.2016 13:00,3.0,66
10.02.2016 14:00,4.0,64
10.02.2016 15:00,4.0,63
10.02.2016 16:00,4.0,64
10.02.2016 17:00,3.0,69
10.02.2016 18:00,1.0,73
10.02.2016 19:00,1.0,72
10.02.2016 20:00,0.0,73
10.02.2016 21:00,-1.0,72
10.02.2016 22:00,-1.0,73
10.02.2016 23:00,-2.0,74
11.02.2016 1:00,-2.0,92
11.02.2016 2:00,-3.0,87
11.02.2016 3:00,-4.0,85
11.02.2016 4:00,-5.0,73
11.02.2016 5:00,-6.0,73
11.02.2016 6:00,-7.0,76
11.02.2016 7:00,-7.0,75
11.02.2016 8:00,-6.0,75
11.02.2016 9:00,-2.0,73
11.02.2016 10:00,0.0,67
11.02.2016 11:00,3.0,58
11.02.2016 12:00,4.0,53
11.02.2016 13:00,5.0,51
11.02.2016 14:00,6.0,53
11.02.2016 15:00,6.0,56
11.02.2016 16:00,5.0,61
11.02.2016 17:00,2.0,67
11.02.2016 18:00,0.0,69
11.02.2016 19:00,-2.0,70
11.02.2016 20:00,-2.0,70
11.02.2016 21:00,-2.0,70
11.02.2016 22:00,-2.0,70
11.02.2016 23:00,-2.0,74
12.02.2016 1:00,-2.0,95
12.02.2016 2:00,-2.0,96
12.02.2016 3:00,-2.0,95
12.02.2016 4:00,-2.0,84
12.02.2016 5:00,-2.0,81
12.02.2016 6:00,-2.0,88
12.02.2016 7:00,-2.0,90
12.02.2016 8:00,-2.0,87
12.02.2016 9:00,-1.0,80
12.02.2016 10:00,0.0,78
12.02.2016 11:00,2.0,74
12.02.2016 12:00,3.0,71
12.02.2016 13:00,3.0,70
12.02.2016 14:00,4.0,72
12.02.2016 15:00,4.0,72
12.02.2016 16:00,4.0,74
12.02.2016 17:00,3.0,78
12.02.2016 18:00,3.0,85
12.02.2016 19:00,2.0,86
12.02.2016 20:00,2.0,86
12.02.2016 21:00,2.0,83
12.02.2016 22:00,2.0,79
12.02.2016 23:00,2.0,80
13.02.2016 1:00,1.0,93
13.02.2016 2:00,0.0,98
13.02.2016 3:00,0.0,96
13.02.2016 4:00,0.0,93
13.02.2016 5:00,1.0,88
13.02.2016 6:00,1.0,86
13.02.2016 7:00,1.0,86
13.02.2016 8:00,-1.0,86
13.02.2016 9:00,0.0,83
13.02.2016 10:00,1.0,80
13.02.2016 11:00,2.0,74
13.02.2016 12:00,4.0,69
13.02.2016 13:00,5.0,65
13.02.2016 14:00,5.0,67
13.02.2016 15:00,4.0,69
13.02.2016 16:00,4.0,71
13.02.2016 17:00,3.0,76
13.02.2016 18:00,2.0,81
13.02.2016 19:00,2.0,83
13.02.2016 20:00,1.0,86
13.02.2016 21:00,1.0,87
13.02.2016 22:00,1.0,85
13.02.2016 23:00,1.0,83
14.02.2016 1:00,1.0,90
14.02.2016 2:00,1.0,88
14.02.2016 3:00,1.0,88
14.02.2016 4:00,1.0,85
14.02.2016 5:00,1.0,87
14.02.2016 6:00,1.0,84
14.02.2016 7:00,1.0,86
14.02.2016 8:00,1.0,86
14.02.2016 9:00,2.0,87
14.02.2016 10:00,3.0,85
14.02.2016 11:00,4.0,83
14.02.2016 12:00,5.0,84
14.02.2016 13:00,4.0,85
14.02.2016 14:00,4.0,84
14.02.2016 15:00,5.0,80
14.02.2016 16:00,5.0,78
14.02.2016 17:00,4.0,84
14.02.2016 18:00,4.0,88
14.02.2016 19:00,4.0,88
14.02.2016 20:00,4.0,88
14.02.2016 21:00,4.0,88
14.02.2016 22:00,4.0,86
14.02.2016 23:00,4.0,85
15.02.2016 1:00,3.0,89
15.02.2016 2:00,2.0,87
15.02.2016 3:00,2.0,85
15.02.2016 4:00,2.0,82
15.02.2016 5:00,2.0,86
15.02.2016 6:00,2.0,82
15.02.2016 7:00,3.0,83
15.02.2016 8:00,3.0,84
15.02.2016 9:00,3.0,86
15.02.2016 10:00,3.0,86
15.02.2016 11:00,4.0,84
15.02.2016 12:00,5.0,81
15.02.2016 13:00,5.0,78
15.02.2016 14:00,5.0,80
15.02.2016 15:00,5.0,79
15.02.2016 16:00,5.0,78
15.02.2016 17:00,4.0,82
15.02.2016 18:00,4.0,86
15.02.2016 19:00,4.0,87
15.02.2016 20:00,4.0,87
15.02.2016 21:00,3.0,87
15.02.2016 22:00,3.0,86
15.02.2016 23:00,3.0,82
16.02.2016 1:00,2.0,95
16.02.2016 2:00,2.0,93
16.02.2016 3:00,3.0,88
16.02.2016 4:00,3.0,87
16.02.2016 5:00,3.0,89
16.02.2016 6:00,3.0,86
16.02.2016 7:00,2.0,85
16.02.2016 8:00,1.0,84
16.02.2016 9:00,1.0,87
16.02.2016 10:00,1.0,85
16.02.2016 11:00,2.0,82
16.02.2016 12:00,3.0,79
16.02.2016 13:00,4.0,75
16.02.2016 14:00,4.0,77
16.02.2016 15:00,3.0,79
16.02.2016 16:00,3.0,79
16.02.2016 17:00,3.0,83
16.02.2016 18:00,2.0,88
16.02.2016 19:00,2.0,87
16.02.2016 20:00,2.0,88
16.02.2016 21:00,2.0,87
16.02.2016 22:00,2.0,86
16.02.2016 23:00,2.0,85
17.02.2016 1:00,2.0,91
17.02.2016 2:00,2.0,91
17.02.2016 3:00,2.0,88
17.02.2016 4:00,2.0,89
17.02.2016 5:00,2.0,90
17.02.2016 6:00,2.0,87
17.02.2016 7:00,1.0,87
17.02.2016 8:00,1.0,87
17.02.2016 9:00,0.0,89
17.02.2016 10:00,0.0,85
17.02.2016 11:00,1.0,85
17.02.2016 12:00,1.0,85
17.02.2016 13:00,2.0,83
17.02.2016 14:00,2.0,82
17.02.2016 15:00,3.0,82
17.02.2016 16:00,3.0,82
17.02.2016 17:00,2.0,87
17.02.2016 18:00,2.0,89
17.02.2016 19:00,3.0,89
17.02.2016 20:00,3.0,90
17.02.2016 21:00,3.0,89
17.02.2016 22:00,3.0,88
17.02.2016 23:00,3.0,86
18.02.2016 1:00,3.0,90
18.02.2016 2:00,3.0,91
18.02.2016 3:00,4.0,86
18.02.2016 4:00,3.0,86
18.02.2016 5:00,3.0,88
18.02.2016 6:00,3.0,86
18.02.2016 7:00,2.0,84
18.02.2016 8:00,3.0,86
18.02.2016 9:00,3.0,87
18.02.2016 10:00,4.0,86
18.02.2016 11:00,6.0,83
18.02.2016 12:00,6.0,81
18.02.2016 13:00,7.0,79
18.02.2016 14:00,7.0,80
18.02.2016 15:00,7.0,78
18.02.2016 16:00,7.0,77
18.02.2016 17:00,6.0,80
18.02.2016 18:00,6.0,81
18.02.2016 19:00,5.0,80
18.02.2016 20:00,4.0,81
18.02.2016 21:00,3.0,82
18.02.2016 22:00,3.0,78
18.02.2016 23:00,3.0,77
19.02.2016 1:00,2.0,90
19.02.2016 2:00,2.0,87
19.02.2016 3:00,1.0,83
19.02.2016 4:00,0.0,81
19.02.2016 5:00,-1.0,88
19.02.2016 6:00,-1.0,81
19.02.2016 7:00,0.0,78
19.02.2016 8:00,1.0,83
19.02.2016 9:00,2.0,86
19.02.2016 10:00,3.0,84
19.02.2016 11:00,4.0,81
19.02.2016 12:00,4.0,82
19.02.2016 13:00,5.0,81
19.02.2016 14:00,5.0,82
19.02.2016 15:00,5.0,80
19.02.2016 16:00,5.0,79
19.02.2016 17:00,4.0,82
19.02.2016 18:00,4.0,85
19.02.2016 19:00,4.0,84
19.02.2016 20:00,3.0,86
19.02.2016 21:00,3.0,87
19.02.2016 22:00,3.0,85
19.02.2016 23:00,2.0,85
20.02.2016 1:00,2.0,93
20.02.2016 2:00,2.0,92
20.02.2016 3:00,2.0,90
20.02.2016 4:00,1.0,88
20.02.2016 5:00,1.0,88
20.02.2016 6:00,0.0,86
20.02.2016 7:00,0.0,85
20.02.2016 8:00,0.0,84
20.02.2016 9:00,1.0,82
20.02.2016 10:00,2.0,77
20.02.2016 11:00,3.0,73
20.02.2016 12:00,4.0,67
20.02.2016 13:00,4.0,65
20.02.2016 14:00,5.0,67
20.02.2016 15:00,5.0,67
20.02.2016 16:00,4.0,69
20.02.2016 17:00,3.0,73
20.02.2016 18:00,3.0,77
20.02.2016 19:00,2.0,78
20.02.2016 20:00,1.0,81
20.02.2016 21:00,1.0,83
20.02.2016 22:00,1.0,81
20.02.2016 23:00,1.0,82
21.02.2016 1:00,1.0,90
21.02.2016 2:00,1.0,87
21.02.2016 3:00,1.0,82
21.02.2016 4:00,1.0,83
21.02.2016 5:00,1.0,84
21.02.2016 6:00,1.0,81
21.02.2016 7:00,1.0,80
21.02.2016 8:00,1.0,82
21.02.2016 9:00,2.0,83
21.02.2016 10:00,3.0,79
21.02.2016 11:00,5.0,79
21.02.2016 12:00,6.0,75
21.02.2016 13:00,7.0,75
21.02.2016 14:00,7.0,76
21.02.2016 15:00,7.0,76
21.02.2016 16:00,7.0,77
21.02.2016 17:00,6.0,79
21.02.2016 18:00,5.0,82
21.02.2016 19:00,4.0,84
21.02.2016 20:00,4.0,85
21.02.2016 21:00,3.0,87
21.02.2016 22:00,3.0,87
21.02.2016 23:00,3.0,88
22.02.2016 1:00,4.0,87
22.02.2016 2:00,4.0,87
22.02.2016 3:00,4.0,87
22.02.2016 4:00,3.0,88
22.02.2016 5:00,3.0,89
22.02.2016 6:00,4.0,88
22.02.2016 7:00,4.0,89
22.02.2016 8:00,4.0,91
22.02.2016 9:00,4.0,88
22.02.2016 10:00,5.0,88
22.02.2016 11:00,6.0,84
22.02.2016 12:00,7.0,81
22.02.2016 13:00,8.0,79
22.02.2016 14:00,8.0,80
22.02.2016 15:00,8.0,79
22.02.2016 16:00,8.0,78
22.02.2016 17:00,7.0,83
22.02.2016 18:00,6.0,87
22.02.2016 19:00,6.0,88
22.02.2016 20:00,6.0,89
22.02.2016 21:00,6.0,88
22.02.2016 22:00,6.0,86
22.02.2016 23:00,6.0,87
