cas,temperatura,vlaznost
16.02.2016 0:00,3.0,84
16.02.2016 1:00,3.0,82
16.02.2016 2:00,3.0,81
16.02.2016 3:00,3.0,79
16.02.2016 4:00,3.0,75
16.02.2016 5:00,3.0,75
16.02.2016 6:00,3.0,79
16.02.2016 7:00,2.0,79
16.02.2016 8:00,2.0,83
16.02.2016 9:00,2.0,86
16.02.2016 10:00,2.0,84
16.02.2016 11:00,3.0,81
16.02.2016 12:00,3.0,82
16.02.2016 13:00,4.0,79
16.02.2016 14:00,4.0,79
16.02.2016 15:00,4.0,78
16.02.2016 16:00,4.0,78
16.02.2016 17:00,3.0,82
16.02.2016 18:00,1.0,92
16.02.2016 19:00,1.0,89
16.02.2016 20:00,0.0,91
16.02.2016 21:00,-1.0,95
16.02.2016 22:00,-1.0,88
16.02.2016 23:00,-1.0,90
17.02.2016 0:00,2.0,83
17.02.2016 1:00,2.0,84
17.02.2016 2:00,2.0,86
17.02.2016 3:00,1.0,85
17.02.2016 4:00,1.0,83
17.02.2016 5:00,1.0,83
17.02.2016 6:00,1.0,83
17.02.2016 7:00,1.0,83
17.02.2016 8:00,0.0,84
17.02.2016 9:00,1.0,84
17.02.2016 10:00,1.0,80
17.02.2016 11:00,3.0,76
17.02.2016 12:00,4.0,72
17.02.2016 13:00,4.0,72
17.02.2016 14:00,5.0,71
17.02.2016 15:00,5.0,71
17.02.2016 16:00,5.0,72
17.02.2016 17:00,4.0,74
17.02.2016 18:00,3.0,78
17.02.2016 19:00,3.0,77
17.02.2016 20:00,2.0,78
17.02.2016 21:00,2.0,80
17.02.2016 22:00,2.0,80
17.02.2016 23:00,1.0,82
18.02.2016 0:00,3.0,87
18.02.2016 1:00,3.0,89
18.02.2016 2:00,3.0,90
18.02.2016 3:00,2.0,89
18.02.2016 4:00,2.0,87
18.02.2016 5:00,2.0,87
18.02.2016 6:00,2.0,88
18.02.2016 7:00,2.0,89
18.02.2016 8:00,1.0,92
18.02.2016 9:00,2.0,91
18.02.2016 10:00,2.0,88
18.02.2016 11:00,4.0,84
18.02.2016 12:00,4.0,82
18.02.2016 13:00,5.0,80
18.02.2016 14:00,6.0,80
18.02.2016 15:00,6.0,80
18.02.2016 16:00,6.0,78
18.02.2016 17:00,4.0,81
18.02.2016 18:00,4.0,85
18.02.2016 19:00,4.0,83
18.02.2016 20:00,3.0,83
18.02.2016 21:00,3.0,85
18.02.2016 22:00,3.0,85
18.02.2016 23:00,2.0,86
19.02.2016 0:00,2.0,85
19.02.2016 1:00,1.0,87
19.02.2016 2:00,1.0,86
19.02.2016 3:00,1.0,87
19.02.2016 4:00,1.0,84
19.02.2016 5:00,1.0,84
19.02.2016 6:00,1.0,87
19.02.2016 7:00,1.0,86
19.02.2016 8:00,0.0,90
19.02.2016 9:00,1.0,90
19.02.2016 10:00,1.0,88
19.02.2016 11:00,2.0,82
19.02.2016 12:00,3.0,84
19.02.2016 13:00,3.0,81
19.02.2016 14:00,4.0,81
19.02.2016 15:00,4.0,80
19.02.2016 16:00,4.0,78
19.02.2016 17:00,3.0,80
19.02.2016 18:00,3.0,82
19.02.2016 19:00,3.0,80
19.02.2016 20:00,2.0,80
19.02.2016 21:00,2.0,81
19.02.2016 22:00,2.0,81
19.02.2016 23:00,1.0,81
20.02.2016 0:00,1.0,85
20.02.2016 1:00,1.0,81
20.02.2016 2:00,1.0,80
20.02.2016 3:00,1.0,75
20.02.2016 4:00,1.0,70
20.02.2016 5:00,1.0,68
20.02.2016 6:00,1.0,71
20.02.2016 7:00,1.0,69
20.02.2016 8:00,1.0,74
20.02.2016 9:00,1.0,79
20.02.2016 10:00,2.0,77
20.02.2016 11:00,3.0,73
20.02.2016 12:00,4.0,70
20.02.2016 13:00,5.0,69
20.02.2016 14:00,5.0,69
20.02.2016 15:00,5.0,69
20.02.2016 16:00,5.0,72
20.02.2016 17:00,3.0,76
20.02.2016 18:00,2.0,82
20.02.2016 19:00,2.0,81
20.02.2016 20:00,1.0,82
20.02.2016 21:00,1.0,83
20.02.2016 22:00,1.0,80
20.02.2016 23:00,1.0,81
21.02.2016 0:00,2.0,83
21.02.2016 1:00,1.0,84
21.02.2016 2:00,1.0,84
21.02.2016 3:00,1.0,83
21.02.2016 4:00,1.0,81
21.02.2016 5:00,1.0,81
21.02.2016 6:00,1.0,84
21.02.2016 7:00,1.0,83
21.02.2016 8:00,2.0,84
21.02.2016 9:00,2.0,85
21.02.2016 10:00,3.0,83
21.02.2016 11:00,6.0,75
21.02.2016 12:00,7.0,72
21.02.2016 13:00,8.0,71
21.02.2016 14:00,8.0,72
21.02.2016 15:00,7.0,72
21.02.2016 16:00,7.0,72
21.02.2016 17:00,6.0,76
21.02.2016 18:00,6.0,80
21.02.2016 19:00,5.0,79
21.02.2016 20:00,4.0,82
21.02.2016 21:00,3.0,84
21.02.2016 22:00,3.0,83
21.02.2016 23:00,2.0,85
22.02.2016 0:00,2.0,81
22.02.2016 1:00,2.0,80
22.02.2016 2:00,2.0,81
22.02.2016 3:00,2.0,80
22.02.2016 4:00,2.0,80
22.02.2016 5:00,2.0,80
22.02.2016 6:00,2.0,82
22.02.2016 7:00,3.0,80
22.02.2016 8:00,3.0,82
22.02.2016 9:00,3.0,84
22.02.2016 10:00,4.0,82
22.02.2016 11:00,5.0,79
22.02.2016 12:00,6.0,81
22.02.2016 13:00,7.0,78
22.02.2016 14:00,7.0,79
22.02.2016 15:00,7.0,81
22.02.2016 16:00,6.0,80
22.02.2016 17:00,5.0,82
22.02.2016 18:00,5.0,84
22.02.2016 19:00,4.0,82
22.02.2016 20:00,4.0,83
22.02.2016 21:00,4.0,84
22.02.2016 22:00,4.0,84
22.02.2016 23:00,3.0,85
23.02.2016 0:00,2.0,88
23.02.2016 1:00,2.0,90
23.02.2016 2:00,2.0,89
23.02.2016 3:00,2.0,89
23.02.2016 4:00,1.0,88
23.02.2016 5:00,1.0,88
23.02.2016 6:00,1.0,87
23.02.2016 7:00,1.0,87
23.02.2016 8:00,1.0,86
23.02.2016 9:00,1.0,82
23.02.2016 10:00,2.0,74
23.02.2016 11:00,3.0,69
23.02.2016 12:00,3.0,65
23.02.2016 13:00,4.0,65
23.02.2016 14:00,4.0,65
23.02.2016 15:00,4.0,64
23.02.2016 16:00,3.0,67
23.02.2016 17:00,3.0,71
23.02.2016 18:00,2.0,73
23.02.2016 19:00,2.0,72
23.02.2016 20:00,2.0,70
23.02.2016 21:00,2.0,76
23.02.2016 22:00,2.0,75
23.02.2016 23:00,1.0,77
24.02.2016 0:00,-2.0,79
24.02.2016 1:00,-2.0,72
24.02.2016 2:00,-1.0,71
24.02.2016 3:00,-1.0,70
24.02.2016 4:00,-1.0,67
24.02.2016 5:00,-1.0,69
24.02.2016 6:00,-1.0,71
24.02.2016 7:00,-1.0,70
24.02.2016 8:00,-1.0,74
24.02.2016 9:00,0.0,76
24.02.2016 10:00,1.0,74
24.02.2016 11:00,3.0,67
24.02.2016 12:00,3.0,63
24.02.2016 13:00,4.0,64
24.02.2016 14:00,4.0,60
24.02.2016 15:00,4.0,58
24.02.2016 16:00,4.0,62
24.02.2016 17:00,3.0,67
24.02.2016 18:00,2.0,69
24.02.2016 19:00,2.0,69
24.02.2016 20:00,1.0,69
24.02.2016 21:00,1.0,73
24.02.2016 22:00,0.0,73
24.02.2016 23:00,-1.0,76
25.02.2016 0:00,-2.0,84
25.02.2016 1:00,-2.0,87
25.02.2016 2:00,-2.0,87
25.02.2016 3:00,-2.0,88
25.02.2016 4:00,-3.0,89
25.02.2016 5:00,-3.0,86
25.02.2016 6:00,-2.0,85
25.02.2016 7:00,-2.0,84
25.02.2016 8:00,-2.0,81
25.02.2016 9:00,-1.0,78
25.02.2016 10:00,1.0,69
25.02.2016 11:00,3.0,68
25.02.2016 12:00,4.0,66
25.02.2016 13:00,6.0,63
25.02.2016 14:00,6.0,63
25.02.2016 15:00,6.0,64
25.02.2016 16:00,6.0,67
25.02.2016 17:00,3.0,75
25.02.2016 18:00,2.0,80
25.02.2016 19:00,1.0,80
25.02.2016 20:00,1.0,82
25.02.2016 21:00,0.0,85
25.02.2016 22:00,0.0,82
25.02.2016 23:00,-1.0,83
26.02.2016 0:00,1.0,75
26.02.2016 1:00,1.0,74
26.02.2016 2:00,1.0,76
26.02.2016 3:00,1.0,75
26.02.2016 4:00,1.0,77
26.02.2016 5:00,1.0,77
26.02.2016 6:00,0.0,78
26.02.2016 7:00,0.0,77
26.02.2016 8:00,0.0,77
26.02.2016 9:00,1.0,82
26.02.2016 10:00,2.0,74
26.02.2016 11:00,4.0,70
26.02.2016 12:00,4.0,68
26.02.2016 13:00,4.0,70
26.02.2016 14:00,4.0,72
26.02.2016 15:00,5.0,72
26.02.2016 16:00,5.0,73
26.02.2016 17:00,4.0,77
26.02.2016 18:00,3.0,80
26.02.2016 19:00,2.0,80
26.02.2016 20:00,2.0,79
26.02.2016 21:00,2.0,80
26.02.2016 22:00,1.0,80
26.02.2016 23:00,1.0,78
27.02.2016 0:00,2.0,87
27.02.2016 1:00,1.0,93
27.02.2016 2:00,-1.0,95
27.02.2016 3:00,-1.0,97
27.02.2016 4:00,-2.0,97
27.02.2016 5:00,-2.0,95
27.02.2016 6:00,-2.0,92
27.02.2016 7:00,-3.0,92
27.02.2016 8:00,-3.0,91
27.02.2016 9:00,-2.0,87
27.02.2016 10:00,0.0,77
27.02.2016 11:00,2.0,76
27.02.2016 12:00,3.0,70
27.02.2016 13:00,3.0,71
27.02.2016 14:00,4.0,67
27.02.2016 15:00,4.0,64
27.02.2016 16:00,4.0,68
27.02.2016 17:00,3.0,74
27.02.2016 18:00,3.0,75
27.02.2016 19:00,2.0,76
27.02.2016 20:00,2.0,73
27.02.2016 21:00,2.0,77
27.02.2016 22:00,1.0,75
27.02.2016 23:00,1.0,75
28.02.2016 0:00,0.0,79
28.02.2016 1:00,0.0,80
28.02.2016 2:00,-1.0,82
28.02.2016 3:00,0.0,80
28.02.2016 4:00,-1.0,84
28.02.2016 5:00,0.0,83
28.02.2016 6:00,-1.0,84
28.02.2016 7:00,0.0,84
28.02.2016 8:00,0.0,83
28.02.2016 9:00,1.0,87
28.02.2016 10:00,2.0,81
28.02.2016 11:00,4.0,79
28.02.2016 12:00,6.0,77
28.02.2016 13:00,7.0,73
28.02.2016 14:00,7.0,76
28.02.2016 15:00,7.0,80
28.02.2016 16:00,7.0,78
28.02.2016 17:00,6.0,82
28.02.2016 18:00,5.0,85
28.02.2016 19:00,4.0,85
28.02.2016 20:00,4.0,89
28.02.2016 21:00,4.0,89
28.02.2016 22:00,4.0,90
28.02.2016 23:00,3.0,92
