cas,temperatura,vlaznost
12.02.2016 0:00,-1.0,82
12.02.2016 1:00,-1.0,82
12.02.2016 2:00,-1.0,83
12.02.2016 3:00,-1.0,82
12.02.2016 4:00,-1.0,81
12.02.2016 5:00,-1.0,78
12.02.2016 6:00,-1.0,80
12.02.2016 7:00,-1.0,81
12.02.2016 8:00,-1.0,83
12.02.2016 9:00,-1.0,82
12.02.2016 10:00,-1.0,79
12.02.2016 11:00,2.0,74
12.02.2016 12:00,3.0,68
12.02.2016 13:00,4.0,64
12.02.2016 14:00,4.0,64
12.02.2016 15:00,4.0,64
12.02.2016 16:00,4.0,66
12.02.2016 17:00,2.0,71
12.02.2016 18:00,0.0,76
12.02.2016 19:00,-1.0,75
12.02.2016 20:00,-1.0,76
12.02.2016 21:00,-2.0,80
12.02.2016 22:00,-2.0,73
12.02.2016 23:00,-2.0,73
13.02.2016 0:00,-2.0,75
13.02.2016 1:00,-2.0,78
13.02.2016 2:00,-2.0,80
13.02.2016 3:00,-2.0,84
13.02.2016 4:00,-2.0,89
13.02.2016 5:00,-2.0,92
13.02.2016 6:00,-2.0,91
13.02.2016 7:00,-2.0,89
13.02.2016 8:00,-2.0,85
13.02.2016 9:00,-1.0,83
13.02.2016 10:00,0.0,79
13.02.2016 11:00,3.0,75
13.02.2016 12:00,3.0,77
13.02.2016 13:00,4.0,72
13.02.2016 14:00,5.0,72
13.02.2016 15:00,5.0,72
13.02.2016 16:00,5.0,72
13.02.2016 17:00,4.0,76
13.02.2016 18:00,3.0,79
13.02.2016 19:00,3.0,80
13.02.2016 20:00,3.0,81
13.02.2016 21:00,3.0,83
13.02.2016 22:00,3.0,82
13.02.2016 23:00,2.0,81
14.02.2016 0:00,2.0,82
14.02.2016 1:00,2.0,84
14.02.2016 2:00,2.0,84
14.02.2016 3:00,2.0,85
14.02.2016 4:00,2.0,85
14.02.2016 5:00,2.0,85
14.02.2016 6:00,2.0,86
14.02.2016 7:00,2.0,86
14.02.2016 8:00,2.0,85
14.02.2016 9:00,2.0,86
14.02.2016 10:00,3.0,85
14.02.2016 11:00,5.0,79
14.02.2016 12:00,6.0,77
14.02.2016 13:00,6.0,76
14.02.2016 14:00,6.0,76
14.02.2016 15:00,6.0,76
14.02.2016 16:00,6.0,77
14.02.2016 17:00,5.0,80
14.02.2016 18:00,5.0,84
14.02.2016 19:00,5.0,83
14.02.2016 20:00,4.0,84
14.02.2016 21:00,4.0,85
14.02.2016 22:00,4.0,85
14.02.2016 23:00,4.0,84
15.02.2016 0:00,3.0,83
15.02.2016 1:00,3.0,85
15.02.2016 2:00,3.0,82
15.02.2016 3:00,2.0,82
15.02.2016 4:00,2.0,83
15.02.2016 5:00,2.0,84
15.02.2016 6:00,2.0,84
15.02.2016 7:00,1.0,85
15.02.2016 8:00,2.0,83
15.02.2016 9:00,2.0,84
15.02.2016 10:00,3.0,83
15.02.2016 11:00,4.0,81
15.02.2016 12:00,4.0,82
15.02.2016 13:00,4.0,78
15.02.2016 14:00,5.0,79
15.02.2016 15:00,4.0,79
15.02.2016 16:00,4.0,76
15.02.2016 17:00,4.0,80
15.02.2016 18:00,4.0,85
15.02.2016 19:00,4.0,85
15.02.2016 20:00,4.0,84
15.02.2016 21:00,4.0,85
15.02.2016 22:00,3.0,83
15.02.2016 23:00,3.0,82
16.02.2016 0:00,4.0,85
16.02.2016 1:00,3.0,87
16.02.2016 2:00,3.0,88
16.02.2016 3:00,3.0,90
16.02.2016 4:00,3.0,89
