cas,temperatura,vlaznost
11.02.2016 0:00,-1.0,82
11.02.2016 1:00,-2.0,80
11.02.2016 2:00,-2.0,81
11.02.2016 3:00,-3.0,86
11.02.2016 4:00,-4.0,89
11.02.2016 5:00,-4.0,88
11.02.2016 6:00,-4.0,90
11.02.2016 7:00,-5.0,92
11.02.2016 8:00,-3.0,88
11.02.2016 9:00,-1.0,92
11.02.2016 10:00,1.0,88
11.02.2016 11:00,3.0,80
11.02.2016 12:00,5.0,71
11.02.2016 13:00,6.0,63
11.02.2016 14:00,7.0,55
11.02.2016 15:00,8.0,51
11.02.2016 16:00,7.0,53
11.02.2016 17:00,6.0,60
11.02.2016 18:00,4.0,65
11.02.2016 19:00,3.0,72
11.02.2016 20:00,2.0,77
11.02.2016 21:00,1.0,80
11.02.2016 22:00,1.0,82
11.02.2016 23:00,1.0,82
12.02.2016 0:00,-2.0,84
12.02.2016 1:00,-2.0,82
12.02.2016 2:00,-1.0,80
12.02.2016 3:00,-1.0,82
12.02.2016 4:00,-1.0,91
12.02.2016 5:00,-1.0,87
12.02.2016 6:00,-1.0,88
12.02.2016 7:00,-1.0,90
12.02.2016 8:00,-1.0,89
12.02.2016 9:00,0.0,88
12.02.2016 10:00,1.0,83
12.02.2016 11:00,3.0,76
12.02.2016 12:00,4.0,70
12.02.2016 13:00,5.0,66
12.02.2016 14:00,6.0,64
12.02.2016 15:00,6.0,62
12.02.2016 16:00,6.0,64
12.02.2016 17:00,4.0,67
12.02.2016 18:00,3.0,73
12.02.2016 19:00,2.0,78
12.02.2016 20:00,0.0,83
12.02.2016 21:00,0.0,85
12.02.2016 22:00,0.0,86
12.02.2016 23:00,0.0,87
13.02.2016 0:00,2.0,84
13.02.2016 1:00,2.0,83
13.02.2016 2:00,2.0,84
13.02.2016 3:00,2.0,88
13.02.2016 4:00,1.0,91
13.02.2016 5:00,1.0,91
13.02.2016 6:00,0.0,93
13.02.2016 7:00,-1.0,94
13.02.2016 8:00,0.0,91
13.02.2016 9:00,1.0,92
13.02.2016 10:00,2.0,92
13.02.2016 11:00,4.0,85
13.02.2016 12:00,5.0,80
13.02.2016 13:00,6.0,75
13.02.2016 14:00,8.0,66
13.02.2016 15:00,8.0,63
13.02.2016 16:00,8.0,68
13.02.2016 17:00,6.0,74
13.02.2016 18:00,4.0,80
13.02.2016 19:00,3.0,85
13.02.2016 20:00,2.0,89
13.02.2016 21:00,2.0,90
13.02.2016 22:00,1.0,94
13.02.2016 23:00,1.0,91
14.02.2016 0:00,1.0,88
14.02.2016 1:00,0.0,88
14.02.2016 2:00,1.0,89
14.02.2016 3:00,0.0,91
14.02.2016 4:00,1.0,93
14.02.2016 5:00,1.0,91
14.02.2016 6:00,1.0,93
14.02.2016 7:00,1.0,90
14.02.2016 8:00,1.0,90
14.02.2016 9:00,2.0,92
14.02.2016 10:00,4.0,90
14.02.2016 11:00,4.0,90
14.02.2016 12:00,6.0,86
14.02.2016 13:00,6.0,84
14.02.2016 14:00,8.0,73
14.02.2016 15:00,7.0,75
14.02.2016 16:00,6.0,79
14.02.2016 17:00,5.0,83
14.02.2016 18:00,4.0,86
14.02.2016 19:00,3.0,90
14.02.2016 20:00,2.0,93
14.02.2016 21:00,2.0,94
14.02.2016 22:00,2.0,94
14.02.2016 23:00,2.0,92
15.02.2016 0:00,4.0,94
15.02.2016 1:00,4.0,93
15.02.2016 2:00,3.0,93
15.02.2016 3:00,2.0,94
15.02.2016 4:00,2.0,94
15.02.2016 5:00,1.0,94
15.02.2016 6:00,2.0,94
15.02.2016 7:00,1.0,94
15.02.2016 8:00,2.0,93
15.02.2016 9:00,3.0,95
15.02.2016 10:00,5.0,97
15.02.2016 11:00,6.0,95
15.02.2016 12:00,7.0,88
15.02.2016 13:00,7.0,83
15.02.2016 14:00,8.0,76
15.02.2016 15:00,9.0,70
15.02.2016 16:00,8.0,78
15.02.2016 17:00,6.0,85
15.02.2016 18:00,5.0,86
15.02.2016 19:00,4.0,89
15.02.2016 20:00,4.0,91
15.02.2016 21:00,4.0,90
15.02.2016 22:00,4.0,91
15.02.2016 23:00,4.0,90
16.02.2016 0:00,2.0,93
16.02.2016 1:00,2.0,92
